new_cases;new_deaths;country;population_density
0;0;Benin;99.11
81;1;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
35;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
62;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
53;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
46;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
53;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
109;2;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
230;2;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
143;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
407;7;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
367;1;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
583;9;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
491;5;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
437;5;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
430;6;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
317;9;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
282;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
213;3;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
202;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
96;3;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
109;1;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
101;2;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
74;1;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
89;1;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
41;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
33;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
24;1;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
27;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
31;1;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
30;1;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
29;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
28;1;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
17;2;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
80;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
70;1;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
214;2;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
457;3;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
